general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
,11,,300% FPL AND ABOVE,OWN,SPANISH
FAIR,20,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,9,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,5,,100-199% FPL,OWN,SPANISH
FAIR,7,,200-299% FPL,OWN,SPANISH
GOOD,7,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,7,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,1,,100-199% FPL,OWN,SPANISH
FAIR,5,,100-199% FPL,OWN,SPANISH
FAIR,17,HARDLY EVER,100-199% FPL,OWN,SPANISH
GOOD,3,,300% FPL AND ABOVE,OWN,SPANISH
,11,OFTEN,100-199% FPL,OWN,SPANISH
,7,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,0,,100-199% FPL,OWN,SPANISH
FAIR,10,,300% FPL AND ABOVE,OWN,SPANISH
FAIR,3,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,7,,100-199% FPL,OWN,SPANISH
,0,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
POOR,13,OFTEN,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,23,,200-299% FPL,OWN,SPANISH
VERY GOOD,0,HARDLY EVER,300% FPL AND ABOVE,OWN,SPANISH
FAIR,12,,100-199% FPL,OWN,SPANISH
VERY GOOD,10,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,1,OFTEN,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,15,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,5,,100-199% FPL,OWN,SPANISH
POOR,7,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,0,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,3,,200-299% FPL,OWN,SPANISH
GOOD,5,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,4,,100-199% FPL,OWN,SPANISH
,8,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,14,,100-199% FPL,OWN,SPANISH
GOOD,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,6,,300% FPL AND ABOVE,OWN,SPANISH
