general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
,4,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,7,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,16,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,12,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,4,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,3,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,17,,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,16,HARDLY EVER,100-199% FPL,OWN,ENGLISH
,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,11,,0-99% FPL,OWN,ENGLISH
GOOD,16,,100-199% FPL,OWN,ENGLISH
VERY GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,8,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,19,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,6,HARDLY EVER,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,0,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,4,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,3,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,9,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,10,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
POOR,4,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,2,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,11,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,0,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,0,,100-199% FPL,OWN,ENGLISH
,6,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,5,SOME OF THE TIME,200-299% FPL,OWN,ENGLISH
,4,,300% FPL AND ABOVE,OWN,ENGLISH
,0,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,16,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,1,,100-199% FPL,OWN,ENGLISH
GOOD,8,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,9,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
FAIR,2,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
FAIR,3,SOME OF THE TIME,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,6,,0-99% FPL,OWN,ENGLISH
,9,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,10,,300% FPL AND ABOVE,OWN,ENGLISH
,3,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,11,HARDLY EVER,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,2,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,3,,300% FPL AND ABOVE,OWN,ENGLISH
,19,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
FAIR,16,,200-299% FPL,OWN,ENGLISH
VERY GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,2,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,12,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
FAIR,7,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,16,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,8,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,7,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,8,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,18,HARDLY EVER,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,5,,300% FPL AND ABOVE,OWN,ENGLISH
,13,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,3,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,4,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,16,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,6,,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,2,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,2,HARDLY EVER,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,6,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,0,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
POOR,2,HARDLY EVER,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
FAIR,16,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,13,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,10,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,16,,300% FPL AND ABOVE,OWN,ENGLISH
,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,16,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,4,HARDLY EVER,200-299% FPL,OWN,ENGLISH
FAIR,18,,0-99% FPL,OWN,ENGLISH
GOOD,21,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,7,,200-299% FPL,OWN,ENGLISH
FAIR,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,5,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,3,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,12,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,17,SOME OF THE TIME,0-99% FPL,OWN,ENGLISH
,2,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,6,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,0,HARDLY EVER,100-199% FPL,OWN,ENGLISH
VERY GOOD,2,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,6,,300% FPL AND ABOVE,OWN,ENGLISH
,16,,300% FPL AND ABOVE,OWN,ENGLISH
,2,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,4,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,6,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
FAIR,19,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,3,SOME OF THE TIME,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,10,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,2,,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,2,,200-299% FPL,OWN,ENGLISH
GOOD,5,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,1,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,3,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,4,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,3,,300% FPL AND ABOVE,OWN,ENGLISH
,7,,200-299% FPL,OWN,ENGLISH
,16,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,2,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,6,HARDLY EVER,100-199% FPL,OWN,ENGLISH
FAIR,2,HARDLY EVER,0-99% FPL,OWN,ENGLISH
GOOD,6,HARDLY EVER,100-199% FPL,OWN,ENGLISH
GOOD,5,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,7,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,2,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
FAIR,3,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,16,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,10,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,2,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,5,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,11,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,17,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,8,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,2,HARDLY EVER,200-299% FPL,OWN,ENGLISH
VERY GOOD,16,,0-99% FPL,OWN,ENGLISH
,7,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,0,OFTEN,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,3,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,11,SOME OF THE TIME,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,0,,300% FPL AND ABOVE,OWN,ENGLISH
,11,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,5,HARDLY EVER,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,0,SOME OF THE TIME,200-299% FPL,OWN,ENGLISH
FAIR,3,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,13,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,4,,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,0,,300% FPL AND ABOVE,OWN,ENGLISH
VERY GOOD,2,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
FAIR,4,SOME OF THE TIME,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,4,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,13,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,2,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
,7,HARDLY EVER,200-299% FPL,OWN,ENGLISH
GOOD,2,HARDLY EVER,200-299% FPL,OWN,ENGLISH
VERY GOOD,0,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
GOOD,16,,300% FPL AND ABOVE,OWN,ENGLISH
,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,ENGLISH
GOOD,9,,0-99% FPL,OWN,ENGLISH
POOR,6,HARDLY EVER,300% FPL AND ABOVE,OWN,ENGLISH
,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,ENGLISH
VERY GOOD,3,,300% FPL AND ABOVE,OWN,ENGLISH
