general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
GOOD,10,HARDLY EVER,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,3,HARDLY EVER,100-199% FPL,OWN,OTHER LANGUAGE
GOOD,4,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,11,,100-199% FPL,OWN,OTHER LANGUAGE
VERY GOOD,14,,100-199% FPL,OWN,OTHER LANGUAGE
GOOD,3,SOME OF THE TIME,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,12,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,10,HARDLY EVER,100-199% FPL,OWN,OTHER LANGUAGE
VERY GOOD,12,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,1,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,1,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,1,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,7,,200-299% FPL,OWN,OTHER LANGUAGE
VERY GOOD,6,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
,2,,200-299% FPL,OWN,OTHER LANGUAGE
VERY GOOD,0,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,23,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,3,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,6,,0-99% FPL,OWN,OTHER LANGUAGE
VERY GOOD,3,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
,17,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,4,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,6,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,7,,0-99% FPL,OWN,OTHER LANGUAGE
VERY GOOD,4,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,0,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,2,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,4,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,6,SOME OF THE TIME,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,1,,200-299% FPL,OWN,OTHER LANGUAGE
,0,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,6,,0-99% FPL,OWN,OTHER LANGUAGE
FAIR,1,HARDLY EVER,100-199% FPL,OWN,OTHER LANGUAGE
VERY GOOD,15,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,4,,100-199% FPL,OWN,OTHER LANGUAGE
VERY GOOD,2,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
POOR,13,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,1,SOME OF THE TIME,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
,0,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,13,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,2,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,3,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,9,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,4,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,7,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,6,OFTEN,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,2,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
